Nome,Descrizione,Tags,Link,Immagine
"Indagini","indagini.txt","crime;inchiesta;narrazione","https://open.spotify.com/show/4I2H2YHJQnGO4Aynrw1ToZ","indagini.webp"
"Elisa True Crime","elisa-true-crime.txt","crime;storie;narrazione;inchiesta","https://open.spotify.com/show/5qrDv6O8ON44pXR70z4lPz","elisa-true-crime.webp"
"Stories","stories.txt","news;attualità;storie","https://open.spotify.com/show/1FaCiqGahURjjO42JOMiyd","stories.webp"
"SEIETRENTA","seietrenta.txt","news;attualità;inchiesta","https://open.spotify.com/show/2ramj2cPHphu84Vt2qKIDK","seietrenta.webp"
"La Zanzara","la-zanzara.txt","attualità;satira;news;irriverente","https://open.spotify.com/show/2xQtCpDNsCQNC3ORZyAclC","la-zanzara.webp"
"Black Box","black-box.txt","economia;news;finanza;analisi","https://open.spotify.com/show/4eMWapyQkr5G7LWiHYQVJv","black-box.webp"
"Passa dal BSMT","passa-dal-bsmt.txt","cultura;interviste;ispirazione;musica;imprenditoria","https://open.spotify.com/show/7aiY7Jz8Fd00DeuJnomgmO","passa-dal-bsmt.webp"
"The Bull","the-bull.txt","finanza;economia;educativo;imprenditoria","https://open.spotify.com/show/2cQw8L6e7XXA90K1LpZekV","the-bull.webp"
"Non hanno un amico","non-hanno-un-amico.txt","satira;commedia;irriverente","https://open.spotify.com/show/47tTRdYaS4J7XtgbvQxR48","non-hanno-un-amico.webp"
"Tintoria","tintoria.txt","commedia;interviste;intrattenimento;società","https://open.spotify.com/show/6ShFMYxeDNMo15COLObDvC","tintoria.webp"
"One More Time","one-more-time.txt","ispirazione;interviste;analisi;imprenditoria;business","https://open.spotify.com/show/2MsuEEO5qrZP2whPkZOlqN","one-more-time.webp"
"Supernova","supernova.txt","cultura;musica;tv-film;intrattenimento","https://open.spotify.com/show/56CxsmGInH8KCnyjaxJTjy","supernova.webp"
"Pulp Podcast","pulp-podcast.txt","attualità;interviste;intrattenimento;società","https://open.spotify.com/show/3kSGHLskkkpKr70dIAumJs","pulp-podcast.webp"
"The Essential","the-essential.txt","news;attualità;politica;analisi","https://open.spotify.com/show/43A9fUmUbLYaHKSi1lAtn5","the-essential.webp"
"Geopop","geopop.txt","scienze;educativo;cultura;divulgazione","https://open.spotify.com/show/3rCnERal3fHtlMJO3zWiUA","geopop.webp"
"GeopolitiX","geopolitix.txt","politica;analisi;attualità;geopolitica","https://open.spotify.com/show/0VYhDvvYEBo5CZgBVwCT1A","geopolitix.webp"
"Il Mondo","il-mondo.txt","news;intrattenimento;analisi;attualità","https://open.spotify.com/show/16dmTJvMre4YDTUYpuJtuZ","il-mondo.webp"
"Non aprite quella podcast","non-aprite-quella-podcast.txt","satira;crime;commedia;irriverente","https://open.spotify.com/show/2wpbJ0TmiPerI4xDaV4L9m","non-aprite-quella-podcast.webp"
"PoretCast","poretcast.txt","interviste;società;umorismo;commedia","https://open.spotify.com/show/6uMX6phOCAWFJu8ILEUxq4","poretcast.webp"
"Squali","squali.txt","finanza;storie;cultura;imprenditoria;economia","https://open.spotify.com/show/6MDNaPRnOCQ0XC2l4wNo9L","squali.webp"
"Din Don Down","din-don-down.txt","intrattenimento;interviste;umorismo;commedia","https://open.spotify.com/show/2iaCLzm359FlwYI7lV6gDp","din-don-down.webp"
"Capiamo","capiamo.txt","attualità;società;cultura;analisi","https://open.spotify.com/show/6rBYFA6nwJ7l4n0RP8OiU7","capiamo.webp"
"Streetsmart","streetsmart.txt","commedia;intrattenimento;satira","https://open.spotify.com/show/66xtN6seXpkHY6Ylv7Ttux","streetsmart.webp"
"Made IT - Storie Italiane di Successo","made-it.txt","business;ispirazione;storie;imprenditoria;economia","https://open.spotify.com/show/2UzJcb7nYz4KOr4jNt9DMW","made-it.webp"
"Un avvertimento prima di iniziare","un-avvertimento-prima-di-iniziare.txt","crime;società;narrazione;inchiesta","https://open.spotify.com/show/3NPpkfj3AtJgHkGijrVR00","un-avvertimento-prima-di-iniziare.webp"
"Giorno per giorno","giorno-per-giorno.txt","news;politica;attualità;analisi","https://open.spotify.com/show/27n6yuGSqRYzsovZGow4hV","giorno-per-giorno.webp"
"Lo Zoo di 105","lo-zoo-di-105.txt","commedia;intrattenimento;irriverente","https://open.spotify.com/show/4jDGLlNUblFa0wiryMrkDW","lo-zoo-di-105.webp"
"Tavolo Parcheggio","tavolo-parcheggio.txt","commedia;società;intrattenimento;umorismo","https://open.spotify.com/show/4ijgbKMjc7VxOMOiyeK6OW","tavolo-parcheggio.webp"
"Power Pizza","power-pizza.txt","tv-film;videogiochi;cultura;musica;intrattenimento","https://open.spotify.com/show/2sKgwTIfc37F354QmReZzo","power-pizza.webp"
"Gurulandia","gurulandia.txt","irriverente;commedia;intrattenimento","https://open.spotify.com/show/4XAUzQqAODh1dfjYIFAXea","gurulandia.webp"
"Globally","globally.txt","politica;attualità;analisi;geopolitica;news","https://open.spotify.com/show/7wmClvYJGCKo7Pjs6AlIOg","globally.webp"
"Piazza Pulita","piazza-pulita.txt","inchiesta;attualità;politica;analisi;società","https://open.spotify.com/show/7mwOijaCikTGaGOI8iDivN","piazza-pulita.webp"
